Feature,Coefficient
median_income,75167.77476624784
latitude,-54415.69614449846
longitude,-53826.64801649393
population,-43403.432427319014
total_bedrooms,43068.1818418704
ocean_proximity_INLAND,-18506.095225086177
households,18382.19632373344
housing_median_age,13889.866188563085
total_rooms,-13094.251162194707
ocean_proximity_ISLAND,2118.437571542446
ocean_proximity_NEAR BAY,-1621.7050178644615
ocean_proximity_NEAR OCEAN,1139.9055918672573
